iter	Passed	Remaining
0	1	117
1	2	104
2	3	97
3	3	88
4	4	86
5	5	85
6	6	83
7	7	82
8	8	81
9	8	80
10	9	79
11	10	78
12	11	77
13	12	76
14	13	77
15	14	76
16	15	75
17	16	74
18	17	73
19	18	72
20	19	73
21	20	72
22	21	70
23	22	70
24	23	69
25	23	68
26	24	67
27	25	66
28	26	65
29	27	64
30	28	63
31	29	62
32	30	61
33	31	60
34	32	59
35	33	58
36	34	58
37	35	57
38	35	56
39	36	55
40	37	54
41	38	52
42	39	51
43	40	50
44	40	50
45	42	49
46	43	48
47	44	47
48	45	46
49	45	45
50	46	44
51	47	43
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	53	37
59	55	36
60	56	35
61	57	34
62	57	34
63	58	33
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
