iter	Passed	Remaining
0	141	141282
1	142	71128
2	143	47632
3	144	35902
4	144	28831
5	145	24112
6	146	20746
7	146	18221
8	147	16273
9	148	14736
10	149	13449
11	150	12374
12	150	11463
13	151	10687
14	152	10008
15	153	9415
16	153	8891
17	154	8424
18	155	8007
19	155	7632
20	156	7293
21	157	6984
22	157	6702
23	158	6443
24	159	6205
25	159	5984
26	160	5780
27	161	5591
28	162	5424
29	162	5266
30	163	5115
31	164	4972
32	165	4836
33	165	4708
34	166	4587
35	167	4472
36	167	4364
37	168	4261
38	168	4164
39	169	4071
40	170	3983
41	170	3899
42	171	3819
43	172	3743
44	172	3670
45	173	3600
46	174	3533
47	174	3469
48	175	3414
49	176	3361
50	177	3306
51	178	3251
52	179	3199
53	179	3152
54	180	3106
55	181	3060
56	182	3014
57	182	2970
58	183	2927
59	184	2885
60	184	2845
61	185	2806
62	186	2768
63	186	2732
64	187	2696
65	188	2662
66	188	2629
67	189	2597
68	190	2568
69	191	2540
70	191	2511
71	192	2482
72	193	2453
73	193	2426
74	194	2399
75	195	2373
76	195	2347
77	196	2322
78	197	2297
79	197	2273
80	198	2250
81	198	2227
82	199	2202
83	199	2180
84	200	2159
85	201	2139
86	201	2119
87	202	2100
88	203	2081
89	204	2062
90	204	2045
91	205	2029
92	206	2012
93	207	1995
94	207	1978
95	208	1962
96	208	1945
97	209	1929
98	210	1913
99	210	1898
100	211	1883
101	212	1868
102	212	1853
103	213	1840
104	214	1826
105	214	1813
106	215	1799
107	216	1786
108	217	1773
109	217	1761
110	218	1748
111	219	1737
112	219	1726
113	220	1715
114	221	1704
115	222	1692
116	222	1680
117	223	1668
118	223	1657
119	224	1646
120	225	1635
121	225	1624
122	226	1614
123	227	1603
124	227	1593
125	228	1583
126	228	1572
127	229	1563
128	230	1554
129	230	1545
130	231	1536
131	232	1527
132	232	1517
133	233	1509
134	234	1501
135	235	1494
136	235	1486
137	236	1477
138	237	1469
139	237	1461
140	238	1453
141	238	1444
142	239	1436
143	240	1428
144	240	1420
145	241	1413
146	242	1405
147	242	1398
148	243	1390
149	244	1384
150	244	1377
151	245	1370
152	246	1363
153	246	1356
154	247	1349
155	248	1342
156	248	1336
157	249	1330
158	250	1325
159	251	1318
160	251	1311
161	252	1305
162	252	1299
163	253	1292
164	254	1286
165	254	1280
166	255	1274
167	256	1268
168	256	1262
169	257	1257
170	258	1254
171	259	1248
172	260	1243
173	260	1237
174	261	1232
175	262	1226
176	262	1221
177	263	1216
178	264	1211
179	264	1206
180	265	1201
181	266	1196
182	266	1191
183	267	1186
184	268	1182
185	269	1178
186	269	1173
187	270	1168
188	271	1163
189	271	1158
190	272	1154
191	273	1150
192	274	1145
193	274	1141
194	275	1136
195	275	1131
196	276	1127
197	277	1122
198	277	1118
199	278	1114
200	279	1111
201	280	1106
202	280	1102
203	281	1098
204	282	1094
205	282	1090
206	283	1085
207	284	1081
208	284	1077
209	285	1073
210	286	1069
211	286	1066
212	287	1062
213	288	1058
214	288	1054
215	289	1050
216	290	1046
217	290	1042
218	291	1038
219	291	1035
220	292	1031
221	293	1028
222	294	1025
223	295	1021
224	295	1018
225	296	1014
226	296	1011
227	297	1007
228	298	1004
229	298	1000
230	299	997
231	300	993
232	300	990
233	301	987
234	302	984
235	302	980
236	303	977
237	304	974
238	305	971
